dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.468664,2.746229,2.161443,2.769076,0.197933,-4.948314,2.473116
0.020000,1.427115,2.782836,2.216845,2.771056,0.098966,-4.948314,2.365017
0.020000,1.389797,2.823756,2.272254,2.769910,-0.057290,-7.812830,2.255440
0.020000,1.357159,2.868448,2.327621,2.766785,-0.156257,-4.948314,2.148413
0.020000,1.329389,2.916225,2.382906,2.761680,-0.255223,-4.948314,2.047398
0.020000,1.306426,2.966359,2.438069,2.754596,-0.354189,-4.948314,1.954716
0.020000,1.288011,3.018169,2.493070,2.745533,-0.453155,-4.948314,1.871431
0.020000,1.273769,3.071073,2.547870,2.734491,-0.552122,-4.948314,1.797599
0.020000,1.263271,3.124604,2.602430,2.721469,-0.651088,-4.948314,1.732635
0.020000,1.256088,3.178398,2.656709,2.706468,-0.750054,-4.948314,1.675640
0.020000,1.251813,3.232183,2.710669,2.689488,-0.849021,-4.948314,1.625626
0.020000,1.250077,3.285750,2.764269,2.670528,-0.947987,-4.948314,1.581638
0.020000,1.250584,3.338930,2.817470,2.649589,-1.046953,-4.948314,1.540348
0.020000,1.253372,3.391615,2.870233,2.626670,-1.145919,-4.948314,1.494621
0.020000,1.258654,3.443626,2.922517,2.601773,-1.244886,-4.948314,1.443532
0.020000,1.266655,3.494763,2.974284,2.574896,-1.343852,-4.948314,1.386481
0.020000,1.277602,3.544780,3.025493,2.546039,-1.442818,-4.948314,1.322950
0.020000,1.291702,3.593378,3.076105,2.515204,-1.541784,-4.948314,1.252605
0.020000,1.309121,3.640207,3.126081,2.482389,-1.640751,-4.948314,1.175455
0.020000,1.329957,3.684871,3.175381,2.447594,-1.739717,-4.948314,1.092022
0.020000,1.354198,3.726958,3.223965,2.410821,-1.838683,-4.948314,1.003474
0.020000,1.381702,3.766066,3.271794,2.372068,-1.937650,-4.948314,0.911652
0.020000,1.412186,3.801862,3.318828,2.331335,-2.036616,-4.948314,0.818900
0.020000,1.445238,3.834119,3.365028,2.288624,-2.135582,-4.948314,0.727733
0.020000,1.480361,3.862745,3.410353,2.243933,-2.234548,-4.948314,0.640435
