dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.499985,4.000000,0.000020,0.001979,0.098966,4.948314,3.141593
0.020000,2.499906,4.000000,0.000099,0.005938,0.197933,4.948314,3.141593
0.020000,2.499728,4.000000,0.000277,0.011876,0.296899,4.948314,3.141593
0.020000,2.499411,4.000000,0.000594,0.019793,0.395865,4.948314,3.141593
0.020000,2.498916,4.000000,0.001089,0.029690,0.494831,4.948314,3.141593
0.020000,2.498204,4.000000,0.001801,0.041566,0.593798,4.948314,3.141593
0.020000,2.497234,4.000000,0.002771,0.055421,0.692764,4.948314,3.141593
0.020000,2.495967,4.000000,0.004038,0.071256,0.791730,4.948314,3.141593
0.020000,2.494364,4.000000,0.005641,0.089070,0.890696,4.948314,3.141593
0.020000,2.492385,4.000000,0.007620,0.108863,0.989663,4.948314,3.141593
0.020000,2.489990,4.000000,0.010015,0.130635,1.088629,4.948314,3.141593
0.020000,2.487139,4.000000,0.012866,0.154387,1.187595,4.948314,3.141593
0.020000,2.483794,4.000000,0.016211,0.180119,1.286562,4.948314,3.141593
0.020000,2.479915,4.000000,0.020090,0.207829,1.385528,4.948314,3.141593
0.020000,2.475461,4.000000,0.024544,0.237519,1.484494,4.948314,3.141593
0.020000,2.470394,4.000000,0.029611,0.269188,1.583460,4.948314,3.141593
0.020000,2.464674,4.000000,0.035331,0.302837,1.682427,4.948314,3.141593
0.020000,2.458261,4.000000,0.041744,0.338465,1.781393,4.948314,3.141593
0.020000,2.451116,4.000000,0.048889,0.376072,1.880359,4.948314,3.141593
0.020000,2.443198,4.000000,0.056807,0.415658,1.979325,4.948314,3.141593
0.020000,2.434470,4.000000,0.065535,0.457224,2.078292,4.948314,3.141593
0.020000,2.424890,4.000000,0.075115,0.500769,2.177258,4.948314,3.141593
0.020000,2.414419,4.000000,0.085586,0.546294,2.276224,4.948314,3.141593
0.020000,2.403018,4.000000,0.096987,0.593798,2.375191,4.948314,3.141593
0.020000,2.390647,4.000000,0.109358,0.643281,2.474157,4.948314,3.141593
0.020000,2.377287,4.000000,0.122718,0.692764,2.474157,0.000000,3.141593
0.020000,2.362937,4.000000,0.137068,0.742247,2.474157,0.000000,3.141593
0.020000,2.347597,4.000000,0.152408,0.791730,2.474157,0.000000,3.141593
0.020000,2.331268,4.000000,0.168737,0.841213,2.474157,0.000000,3.141593
0.020000,2.313948,4.000000,0.186057,0.890696,2.474157,-0.000000,3.141593
0.020000,2.295640,4.000000,0.204365,0.940180,2.474157,0.000000,3.141593
0.020000,2.276341,4.000000,0.223664,0.989663,2.474157,-0.000000,3.141593
0.020000,2.256053,4.000000,0.243952,1.039146,2.474157,0.000000,3.141593
0.020000,2.234775,4.000000,0.265230,1.088629,2.474157,0.000000,3.141593
0.020000,2.212508,4.000000,0.287497,1.138112,2.474157,0.000000,3.141593
