dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.736799,3.249300,1.938000,1.700000,0.000000,0.000000,5.556212
0.020000,1.762128,3.226620,1.972000,1.700000,0.000000,0.000000,5.549645
0.020000,1.787311,3.203776,2.006000,1.700000,0.000000,0.000000,5.543311
0.020000,1.812351,3.180777,2.040000,1.700000,0.000000,0.000000,5.537209
0.020000,1.837253,3.157627,2.074000,1.700000,0.000000,0.000000,5.531334
0.020000,1.862022,3.134335,2.108000,1.700000,0.000000,0.000000,5.525685
0.020000,1.886661,3.110906,2.142000,1.700000,0.000000,0.000000,5.520257
0.020000,1.911175,3.087346,2.176000,1.700000,0.000000,0.000000,5.515048
0.020000,1.935568,3.063662,2.210000,1.700000,0.000000,0.000000,5.510055
0.020000,1.959846,3.039859,2.244000,1.700000,0.000000,0.000000,5.505276
0.020000,1.984012,3.015942,2.278000,1.700000,0.000000,0.000000,5.500706
0.020000,2.008096,2.991971,2.312000,1.700000,0.000000,0.000000,5.506104
0.020000,2.032634,2.968437,2.346000,1.700000,0.000000,0.000000,5.531300
0.020000,2.057763,2.945535,2.380000,1.700000,0.000000,0.000000,5.557056
0.020000,2.083479,2.923295,2.414000,1.700000,0.000000,0.000000,5.583320
0.020000,2.109775,2.901744,2.448000,1.700000,0.000000,0.000000,5.610032
0.020000,2.136641,2.880909,2.482000,1.700000,0.000000,0.000000,5.637125
0.020000,2.164066,2.860813,2.516000,1.700000,0.000000,0.000000,5.664520
0.020000,2.192032,2.841479,2.550000,1.700000,0.000000,0.000000,5.692136
0.020000,2.220524,2.822927,2.584000,1.700000,0.000000,0.000000,5.719883
0.020000,2.249519,2.805174,2.618000,1.700000,0.000000,0.000000,5.747665
0.020000,2.278996,2.788232,2.652000,1.700000,0.000000,0.000000,5.775388
0.020000,2.308930,2.772111,2.686000,1.700000,0.000000,0.000000,5.802951
0.020000,2.339295,2.756818,2.720000,1.700000,0.000000,0.000000,5.830259
0.020000,2.370064,2.742354,2.754000,1.700000,0.000000,0.000000,5.857216
0.020000,2.401209,2.728719,2.788000,1.700000,0.000000,0.000000,5.883730
0.020000,2.432701,2.715906,2.822000,1.700000,0.000000,0.000000,5.909716
0.020000,2.464512,2.703906,2.856000,1.700000,0.000000,0.000000,5.935096
0.020000,2.496614,2.692706,2.890000,1.700000,0.000000,0.000000,5.959797
0.020000,2.528978,2.682291,2.924000,1.700000,0.000000,0.000000,5.983757
0.020000,2.561580,2.672641,2.958000,1.700000,0.000000,0.000000,6.006922
0.020000,2.594392,2.663735,2.992000,1.700000,0.000000,0.000000,6.029245
0.020000,2.627391,2.655550,3.026000,1.700000,0.000000,0.000000,6.050689
0.020000,2.660555,2.648059,3.060000,1.700000,0.000000,0.000000,6.071225
0.020000,2.693863,2.641235,3.094000,1.700000,0.000000,0.000000,6.090831
0.020000,2.727295,2.635049,3.128000,1.700000,0.000000,0.000000,6.109492
0.020000,2.760834,2.629473,3.162000,1.700000,0.000000,0.000000,6.127199
0.020000,2.794464,2.624475,3.196000,1.700000,0.000000,0.000000,6.143949
0.020000,2.828171,2.620025,3.230000,1.700000,0.000000,0.000000,6.159742
0.020000,2.861889,2.616098,3.263946,1.694572,-0.271404,-13.570193,6.174560
0.020000,2.895354,2.612683,3.297585,1.669376,-1.259776,-49.418605,6.188316
0.020000,2.928217,2.609768,3.330577,1.629842,-1.976744,-35.848412,6.200917
0.020000,2.960324,2.607308,3.362779,1.590307,-1.976744,0.000000,6.212378
0.020000,2.991667,2.605250,3.394190,1.550772,-1.976744,-0.000000,6.222770
0.020000,3.022240,2.603547,3.424810,1.511237,-1.976744,0.000000,6.232162
0.020000,3.052037,2.602153,3.454639,1.471702,-1.976744,-0.000000,6.240619
0.020000,3.081054,2.601029,3.483678,1.432167,-1.976744,0.000000,6.248205
0.020000,3.109287,2.600138,3.511926,1.392632,-1.976744,0.000000,6.254981
0.020000,3.136736,2.599448,3.539383,1.353097,-1.976744,-0.000000,6.261004
0.020000,3.163398,2.598928,3.566050,1.313562,-1.976744,0.000000,6.266327
0.020000,3.189271,2.598554,3.591926,1.274028,-1.976744,0.000000,6.271003
