dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000017,4.000000,0.000020,0.001990,0.099492,4.974613,0.000000
0.020000,0.000097,4.000000,0.000099,0.005970,0.198985,4.974613,0.000000
0.020000,0.000276,4.000000,0.000279,0.011939,0.298477,4.974613,0.000000
0.020000,0.000594,4.000000,0.000597,0.019898,0.397969,4.974613,0.000000
0.020000,0.001092,4.000000,0.001094,0.029848,0.497461,4.974613,0.000000
0.020000,0.001808,4.000000,0.001811,0.041787,0.596954,4.974613,0.000000
0.020000,0.002783,4.000000,0.002786,0.055716,0.696446,4.974613,0.000000
0.020000,0.004057,4.000000,0.004059,0.071634,0.795938,4.974613,0.000000
0.020000,0.005669,4.000000,0.005671,0.089543,0.895430,4.974613,0.000000
0.020000,0.007658,4.000000,0.007661,0.109441,0.994923,4.974613,0.000000
0.020000,0.010066,4.000000,0.010069,0.131330,1.094415,4.974613,0.000000
0.020000,0.012931,4.000000,0.012934,0.155208,1.193907,4.974613,0.000000
0.020000,0.016294,4.000000,0.016297,0.181076,1.293399,4.974613,0.000000
0.020000,0.020194,4.000000,0.020197,0.208934,1.392892,4.974613,0.000000
0.020000,0.024672,4.000000,0.024674,0.238781,1.492384,4.974613,0.000000
0.020000,0.029766,4.000000,0.029768,0.270619,1.591876,4.974613,0.000000
0.020000,0.035516,4.000000,0.035519,0.304446,1.691368,4.974613,0.000000
0.020000,0.041963,4.000000,0.041966,0.340264,1.790861,4.974613,0.000000
0.020000,0.049147,4.000000,0.049149,0.378071,1.890353,4.974613,0.000000
0.020000,0.057106,4.000000,0.057109,0.417868,1.989845,4.974613,0.000000
0.020000,0.065881,4.000000,0.065884,0.459654,2.089338,4.974613,0.000000
0.020000,0.075512,4.000000,0.075515,0.503431,2.188830,4.974613,0.000000
0.020000,0.086038,4.000000,0.086041,0.549197,2.288322,4.974613,0.000000
0.020000,0.097500,4.000000,0.097502,0.596954,2.387814,4.974613,0.000000
0.020000,0.109936,4.000000,0.109939,0.646700,2.487307,4.974613,0.000000
0.020000,0.123368,4.000000,0.123370,0.696446,2.487307,-0.000000,0.000000
0.020000,0.137794,4.000000,0.137797,0.746192,2.487307,0.000000,0.000000
0.020000,0.153216,4.000000,0.153218,0.795938,2.487307,0.000000,0.000000
